,Gia du doan,Gia thuc,% sai lech
6676,172719.97115047934,183333.0,5.7889353523482745
6374,163136.1146671531,154167.0,5.817791529414921
4168,97051.65601871266,91667.0,5.87414884169075
3852,156632.4762063417,147917.0,5.892139650169826
2650,156632.4762063417,147917.0,5.892139650169826
11224,156632.4762063417,147917.0,5.892139650169826
12484,156632.4762063417,147917.0,5.892139650169826
3635,156632.4762063417,147917.0,5.892139650169826
1799,156632.4762063417,147917.0,5.892139650169826
8648,156632.4762063417,147917.0,5.892139650169826
5863,156632.4762063417,147917.0,5.892139650169826
1847,156632.4762063417,147917.0,5.892139650169826
12564,156632.4762063417,147917.0,5.892139650169826
1711,156632.4762063417,147917.0,5.892139650169826
4111,156632.4762063417,147917.0,5.892139650169826
5722,156632.4762063417,147917.0,5.892139650169826
8197,156632.4762063417,147917.0,5.892139650169826
12892,156632.4762063417,147917.0,5.892139650169826
9210,156632.4762063417,147917.0,5.892139650169826
10515,156632.4762063417,147917.0,5.892139650169826
10880,156632.4762063417,147917.0,5.892139650169826
1891,156632.4762063417,147917.0,5.892139650169826
12248,156632.4762063417,147917.0,5.892139650169826
4685,156632.4762063417,147917.0,5.892139650169826
8793,156632.4762063417,147917.0,5.892139650169826
12636,156632.4762063417,147917.0,5.892139650169826
6522,156632.4762063417,147917.0,5.892139650169826
3560,156632.4762063417,147917.0,5.892139650169826
10244,156632.4762063417,147917.0,5.892139650169826
10015,156632.4762063417,147917.0,5.892139650169826
5337,156632.4762063417,147917.0,5.892139650169826
4012,156632.4762063417,147917.0,5.892139650169826
2970,156632.4762063417,147917.0,5.892139650169826
9774,156632.4762063417,147917.0,5.892139650169826
1105,64107.42811811014,68125.0,5.897353221122731
12887,98467.45094263785,92956.0,5.929096500105264
12598,35312.5674579936,33333.0,5.938761761598423
1547,62706.73555241035,66667.0,5.940366969549631
719,50922.56743366025,54167.0,5.98968480133614
1538,256224.6759085224,241667.0,6.023857584412597
2829,68480.43773386732,64583.0,6.034773444818795
11389,176166.65466272325,187500.0,6.044450846547603
4095,172341.04791003146,162500.0,6.05602948309628
1793,127084.44956439496,119792.0,6.087593131757515
3379,88017.4561491286,82917.0,6.151279169686072
2481,97769.66326276456,104208.0,6.178351697792339
2122,92960.69677436828,87500.0,6.240796313563744
10885,175564.59561802493,187500.0,6.365549003720035
10333,82435.08838935687,77500.0,6.367855986266926
5323,183929.62407443556,172917.0,6.368734175607696
4419,101956.3913762736,95833.0,6.389648008800314
