DiaChi,Quan,TinhTrangBDS,DienTich,Phongngu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Gia,USD,log_price,Rank
"220, Đường Trần Hưng Đạo B, Phường 11, Quận 5, Tp Hồ Chí Minh", Quận 5,Đã bàn giao,38.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1600000000.0,66667.0,11.107465356849564,66667.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,45.0,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1200000000.0,50000.0,10.819778284410283,50000.0
"Số 132, Số 132 Đường Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh", Quận 4,Đã bàn giao,65.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1450000000.0,60417.0,11.009025801274973,60417.0
"18/1, 18/1 Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh", Huyện Hóc Môn,Đã bàn giao,74.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1580000000.0,65833.0,11.094876511351249,65833.0
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,53.0,2.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1560000000.0,65000.0,11.082142548877776,65000.0
"16, Đường Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,32.0,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,868000000.0,36167.0,10.495902379841931,36167.0
"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,74.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1800000000.0,75000.0,11.225243392518449,75000.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,45.0,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1200000000.0,50000.0,10.819778284410283,50000.0
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,50.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1395000000.0,58125.0,10.970351142889658,58125.0
"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,57.0,1.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1815000000.0,75625.0,11.233542195333143,75625.0
